input_amplitude,simulated_waveform_amplitude,simulated_waveform_amplitude_normalied_wrt_input
0.0001,0.0005579658876744788,5.579658876744788
0.0005636363636363634,0.003202021707258692,5.681006254813811
0.0010272727272727308,0.005801764895132572,5.6477357386246085
0.0014909090909090914,0.008406811717041869,5.638715176064666
0.001954545454545459,0.010992876761205712,5.6242625289889565
0.0024181818181818193,0.013579519382863841,5.615590722236925
0.0028818181818181868,0.016154131595972485,5.605534623208109
0.0033454545454545473,0.018729803056746982,5.598582435440671
0.003809090909090908,0.021314312786248027,5.595642974909985
0.004272727272727275,0.02389759247560622,5.593053558120602
0.004736363636363636,0.02648619914150895,5.59209578803452
0.005200000000000003,0.029089890883547416,5.5942097852975765
0.005663636363636364,0.03168181826121307,5.59390049555929
0.006127272727272731,0.03428806838458675,5.595975552380623
0.006590909090909092,0.03687937438282279,5.595491285669664
0.007054545454545459,0.03947161717710011,5.595203465826043
0.00751818181818182,0.042064880755393705,5.595086920306295
0.00798181818181818,0.044655771695269304,5.5946866588606206
0.008445454545454548,0.0472524244130726,5.595012578512362
0.008909090909090908,0.04982351731692746,5.592435617206144
0.009372727272727276,0.05242281160637618,5.593122479826748
0.009836363636363636,0.05501019836134425,5.592534029341837
0.010300000000000004,0.057594372477357894,5.5916866482871725
0.010763636363636364,0.06019834358262112,5.5927515152773
0.011227272727272732,0.06277902413270567,5.591653971334106
0.011690909090909092,0.06536994721364013,5.591519590591301
0.012154545454545453,0.06796828376119134,5.592005395460769
0.01261818181818182,0.07053976480254424,5.590327181757829
0.01308181818181818,0.0731421250649776,5.591128392736301
0.013545454545454548,0.07573406596214724,5.591105540829661
0.014009090909090909,0.07833756296404706,5.591909101911212
0.014472727272727276,0.0809238984998489,5.591475398858906
0.014936363636363637,0.0835120789434862,5.5911921386387595
0.0154,0.086107701078307,5.591409160929025
0.015863636363636364,0.08869010727686247,5.5907804014068025
0.01632727272727273,0.09129132493901325,5.591339500719074
0.016790909090909092,0.0938774694849024,5.590970028878865
0.017254545454545456,0.09646634088254046,5.590778449462301
0.01771818181818182,0.0990488100335521,5.590235558589395
0.018181818181818184,0.10165694313524201,5.59113187243831
0.018645454545454545,0.10422944416872622,5.590072578527491
0.01910909090909091,0.10682096978115095,5.590060264475073
0.019572727272727273,0.10939996858220719,5.589408520224241
0.020036363636363637,0.11198552807114931,5.589114377416708
0.0205,0.11456040280210714,5.588312331810104
0.020963636363636365,0.11714520799345249,5.588019461960005
0.02142727272727273,0.11971855766145979,5.5872046426646484
0.021890909090909093,0.12229606294059012,5.586614170874133
0.022354545454545457,0.12487370569555609,5.586054341810153
0.022818181818181817,0.1274264698060133,5.584426963610145
0.02328181818181818,0.1299703949831445,5.582484751326003
0.023745454545454545,0.1325028313786994,5.580134552701735
0.02420909090909091,0.1350203090586032,5.577256476322326
0.024672727272727273,0.13754692870339033,5.57485709556851
0.025136363636363637,0.1400651316291487,5.572211384884758
0.0256,0.14258609246670248,5.569769236980565
0.026063636363636365,0.14511610984221582,5.567761451916198
0.02652727272727273,0.14767215453539662,5.56680500304785
0.02699090909090909,0.15024715153041907,5.566583586509295
0.027454545454545454,0.15284761542078965,5.567297250426113
0.027918181818181818,0.15547189895956173,5.5688404055850835
0.02838181818181818,0.15817184534897114,5.572999035357728
0.028845454545454546,0.16091529163732113,5.578532013900197
0.02930909090909091,0.16371618206711983,5.585849884424063
0.029772727272727274,0.16657798794269627,5.594985854563844
0.030236363636363638,0.16946960278916032,5.604827512569944
0.030699999999999998,0.17232696462219182,5.613256176618626
0.031163636363636366,0.17511375213444755,5.619169409215061
0.031627272727272726,0.17774541026420054,5.620004348681247
0.032090909090909094,0.18019879131849542,5.615259786128752
0.032554545454545454,0.18236544768961527,5.601842850002145
0.03301818181818182,0.18421406786596947,5.579170557614714
0.03348181818181818,0.18572203353512498,5.546951856873132
0.03394545454545454,0.18689437734560918,5.5057261671175715
0.03440909090909091,0.1877765871892586,5.457179548432879
0.03487272727272727,0.18840081247121365,5.402525905066085
0.03533636363636364,0.1888037464764344,5.343044021715405
0.0358,0.18904787207882748,5.280666817844343
0.036263636363636366,0.18915167818063416,5.216015191744737
0.036727272727272726,0.1891832048480848,5.151027854774586
0.037190909090909094,0.189195128431619,5.087133739300437
0.037654545454545454,0.18924062620285453,5.025704703600676
0.038118181818181815,0.18937462456781476,4.968091748738284
0.03858181818181818,0.1896386086056908,4.915232551042881
0.03904545454545454,0.19011903400379943,4.869172000097308
0.03950909090909091,0.19088416491848384,4.8313985598327704
0.03997272727272727,0.19197153762346908,4.8025629153017055
0.04043636363636364,0.19346172855639185,4.784350301529474
0.0409,0.19545702239817914,4.778900303133964
0.041363636363636366,0.19800274759710856,4.786879612237789
0.04182727272727273,0.20113281968192556,4.808652502719368
0.04229090909090909,0.2046507158667452,4.839118388938515
0.042754545454545455,0.20829235609987837,4.8718178122446565
0.043218181818181815,0.21178652108092,4.900403306457973
0.04368181818181818,0.21485305762142964,4.91859237010557
0.04414545454545454,0.21718448960591366,4.919747499310236
0.04460909090909091,0.21845518395592844,4.897100109058922
0.04507272727272727,0.21835700155773663,4.8445482394818535
0.04553636363636364,0.2165547931832517,4.7556452885122145
0.046,0.21268552330977014,4.62359833282109
